,HIT1,HIT2,HIT3,HIT4,HIT5,HIT6,HIT7,HIT8,HIT9,HIT10,HIT11,HIT12
Q1,EC_1,EC_4,EC_3,EC_2,EC_1,EC_2,EC_4,EC_3,EC_1,EC_3,EC_2,EC_4
Q2,EC_2,EC_1,EC_4,EC_3,EC_3,EC_1,EC_2,EC_4,EC_4,EC_1,EC_3,EC_2
Q3,EC_3,EC_2,EC_1,EC_4,EC_4,EC_3,EC_1,EC_2,EC_2,EC_4,EC_1,EC_3
Q4,EC_4,EC_3,EC_2,EC_1,EC_2,EC_4,EC_3,EC_1,EC_3,EC_2,EC_4,EC_1
Q5,EC_1,EC_4,EC_3,EC_2,EC_1,EC_2,EC_4,EC_3,EC_1,EC_3,EC_2,EC_4
Q6,EC_2,EC_1,EC_4,EC_3,EC_3,EC_1,EC_2,EC_4,EC_4,EC_1,EC_3,EC_2
Q7,EC_3,EC_2,EC_1,EC_4,EC_4,EC_3,EC_1,EC_2,EC_2,EC_4,EC_1,EC_3
Q8,EC_4,EC_3,EC_2,EC_1,EC_2,EC_4,EC_3,EC_1,EC_3,EC_2,EC_4,EC_1
Q9,EC_1,EC_4,EC_3,EC_2,EC_1,EC_2,EC_4,EC_3,EC_1,EC_3,EC_2,EC_4
Q10,EC_2,EC_1,EC_4,EC_3,EC_3,EC_1,EC_2,EC_4,EC_4,EC_1,EC_3,EC_2
